p1x	p1y	p2x	p2y	v1x	v1y	v2x	v2y	Energy	Ang_mom	time
-115.922360682328	-99.92236068232793	-115.89318491595307	-100.79318491595303	-96.11040115232265	-86.11040115232262	-96.13341268784315	-86.13341268784312	0	0	1.61
-116.88346256072852	-100.78346256072845	-116.854747025064	-101.65474702506395	-96.15600128523492	-86.1560012852349	-96.17861524929009	-86.17861524929006	0	0	1.62
-117.8450204773223	-101.64502047732222	-117.81675722093888	-102.51675722093883	-96.2008135738535	-86.20081357385347	-96.2230379624395	-86.22303796243948	0	0	1.6300000000000001
-118.80702655292448	-102.50702655292442	-118.7792077843128	-103.37920778431274	-96.2448538636335	-86.24485386363347	-96.26669647444307	-86.26669647444304	0	0	1.6400000000000001
-119.76947306682324	-103.36947306682318	-119.74209115042775	-104.24209115042768	-96.28813760705009	-86.28813760705006	-96.30960604565247	-86.30960604565244	0	0	1.6500000000000001
-120.7323524528493	-104.23235245284923	-120.70539990522586	-105.10539990522578	-96.33067987584566	-86.33067987584563	-96.35178156163032	-86.35178156163029	0	0	1.6600000000000001
-121.69565729556811	-105.09565729556803	-121.66912678166037	-105.96912678166028	-96.37249537280857	-86.37249537280854	-96.39323754470321	-86.39323754470318	0	0	1.67
-122.65938032658978	-105.9593803265897	-122.63326465611993	-106.83326465611984	-96.41359844310485	-86.41359844310482	-96.43398816507786	-86.43398816507784	0	0	1.68
-123.62351442099232	-106.82351442099223	-123.59780654496193	-107.69780654496184	-96.45400308518259	-86.45400308518256	-96.4740472515397	-86.47404725153967	0	0	1.69
-124.58805259385397	-107.68805259385388	-124.56274560115072	-108.56274560115064	-96.49372296126849	-86.49372296126846	-96.51342830175253	-86.5134283017525	0	0	1.7
-125.55298799689055	-108.55298799689045	-125.52807511099698	-109.42807511099689	-96.53277140747429	-86.53277140747426	-96.55214449217685	-86.55214449217682	0	0	1.71
-126.51831391519379	-109.41831391519368	-126.49378849099426	-110.29378849099417	-96.57116144353039	-86.57116144353036	-96.59020868762364	-86.59020868762362	0	0	1.72
-127.4840237640671	-110.284023764067	-127.45987928474945	-111.15987928474937	-96.60890578216299	-86.60890578216296	-96.62763345045938	-86.62763345045936	0	0	1.73
-128.45011108595517	-111.15011108595507	-128.42634116000346	-112.02634116000337	-96.64601683813027	-86.64601683813024	-96.66443104947746	-86.66443104947743	0	0	1.74
-129.41656954746378	-112.01656954746367	-129.393167905739	-112.89316790573892	-96.68250673693194	-86.68250673693191	-96.70061346845027	-86.70061346845024	0	0	1.75
-130.38339293646686	-112.88339293646676	-130.36035342937245	-113.76035342937237	-96.71838732320683	-86.7183873232068	-96.73619241437568	-86.73619241437565	0	0	1.76
-131.35057515929753	-113.75057515929744	-131.32789175402652	-114.62789175402644	-96.75367016883088	-86.75367016883085	-96.77117932543061	-86.77117932543058	0	0	1.77
-132.3181102380201	-114.61811023802	-132.29577701588107	-115.49577701588099	-96.78836658072903	-86.788366580729	-96.80558537864442	-86.8055853786444	0	0	1.78
-133.28599230778013	-115.48599230778002	-133.2640034615994	-116.36400346159932	-96.82248760841266	-86.82248760841263	-96.8394214973035	-86.83942149730348	0	0	1.79
-134.25421561423005	-116.35421561422994	-134.23256544582713	-117.23256544582706	-96.85604405125363	-86.8560440512536	-96.87269835809829	-86.87269835809826	0	0	1.8
-135.22277451102738	-117.22277451102728	-135.20145742876136	-118.1014574287613	-96.88904646550672	-86.8890464655067	-96.90542639802348	-86.90542639802345	0	0	1.81
-136.19166345740328	-118.09166345740319	-136.1706739737876	-118.97067397378753	-96.9215051710898	-86.92150517108978	-96.93761582104146	-86.93761582104143	0	0	1.82
-137.16087701579883	-118.96087701579874	-137.14020974518218	-119.84020974518212	-96.95343025813261	-86.95343025813258	-96.96927660451858	-86.96927660451856	0	0	1.83
-138.1304098495669	-119.8304098495668	-138.11005950587796	-120.71005950587791	-96.98483159330263	-86.9848315933026	-97.00041850544349	-87.00041850544346	0	0	1.84
-139.10025672073715	-120.70025672073707	-139.08021811529105	-121.58021811529099	-97.01571882591782	-87.01571882591779	-97.03105106643632	-87.03105106643629	0	0	1.85
-140.07041248784242	-121.57041248784235	-140.05068052720668	-122.45068052720663	-97.04610139385414	-87.04610139385412	-97.06118362155702	-87.06118362155699	0	0	1.86
-141.04087210380385	-122.4408721038038	-141.02144178772218	-123.32144178772214	-97.07598852925655	-87.07598852925652	-97.09082530192086	-87.09082530192083	0	0	1.87
-142.01163061387348	-123.31163061387343	-141.9924970332451	-124.19249703324505	-97.1053892640607	-87.10538926406068	-97.11998504112869	-87.11998504112866	0	0	1.8800000000000001
-142.98268315363177	-124.18268315363173	-142.96384148854474	-125.06384148854471	-97.13431243533344	-87.13431243533341	-97.1486715805192	-87.14867158051918	0	0	1.8900000000000001
-143.9540249470388	-125.05402494703874	-143.93547046485546	-125.93547046485544	-97.1627666904385	-87.16276669043847	-97.1768934742502	-87.17689347425018	0	0	1.9000000000000001
-144.92565130453684	-125.92565130453679	-144.90737935802974	-126.80737935802972	-97.19076049203478	-87.19076049203476	-97.20465909421537	-87.20465909421534	0	0	1.9100000000000001
-145.89755762120325	-126.7975576212032	-145.87956364673977	-127.67956364673975	-97.21830212291319	-87.21830212291316	-97.23197663480293	-87.2319766348029	0	0	1.92
-146.86973937495148	-127.66973937495143	-146.8520188907258	-128.55201889072578	-97.24539969067852	-87.2453996906785	-97.2588541175024	-87.25885411750237	0	0	1.93
-147.84219212477902	-128.54219212477898	-147.8247407290898	-129.4247407290898	-97.27206113228243	-87.2720611322824	-97.28529939536487	-87.28529939536485	0	0	1.94
-148.81491150906064	-129.4149115090606	-148.7977248786331	-130.29772487863306	-97.29829421841244	-87.29829421841241	-97.31132015732267	-87.31132015732264	0	0	1.95
-149.7878932438856	-130.28789324388558	-149.77096713223625	-131.17096713223623	-97.3241065577433	-87.32410655774328	-97.3369239323735	-87.33692393237347	0	0	1.96
-150.7611331214373	-131.16113312143727	-150.74446335728055	-132.04446335728053	-97.34950560105541	-87.34950560105538	-97.36211809363418	-87.36211809363415	0	0	1.97
-151.73462700841412	-132.03462700841408	-151.71820949410895	-132.9182094941089	-97.37449864522493	-87.3744986452249	-97.38690986226881	-87.38690986226878	0	0	1.98
-152.70837084449025	-132.90837084449018	-152.69220155452592	-133.7922015545259	-97.39909283709105	-87.39909283709102	-97.41130631129597	-87.41130631129595	0	0	1.99
-153.6823606408151	-133.782360640815	-153.66643562033485	-134.66643562033482	-97.42329517720438	-87.42329517720435	-97.43531436927944	-87.43531436927941	0	0	2.0
-154.65659247855024	-134.65659247855015	-154.6409078419115	-135.5409078419115	-97.4471125234609	-87.44711252346087	-97.45894082390654	-87.45894082390652	0	0	2.0100000000000002
-155.6310625074428	-135.5310625074427	-155.615614436813	-136.41561443681297	-97.47055159462586	-87.47055159462583	-97.48219232545853	-87.4821923254585	0	0	2.02
-156.60576694443384	-136.40576694443374	-156.59055168842067	-137.29055168842066	-97.4936189737515	-87.49361897375147	-97.5050753901764	-87.50507539017637	0	0	2.0300000000000002
-157.58070207230116	-137.28070207230107	-157.5657159446165	-138.1657159446165	-97.516321111492	-87.51632111149198	-97.5275964035263	-87.52759640352627	0	0	2.04
-158.55586423833518	-138.15586423833508	-158.5411036164912	-139.0411036164912	-97.53866432932016	-87.53866432932013	-97.5497616233679	-87.54976162336787	0	0	2.05
-159.5312498530469	-139.0312498530468	-159.51671117708386	-139.91671117708387	-97.56065482264843	-87.5606548226484	-97.57157718302915	-87.57157718302912	0	0	2.06
-160.50685538890718	-139.9068553889071	-160.4925351601518	-140.7925351601518	-97.5822986638582	-87.58229866385817	-97.59304909429085	-87.59304909429082	0	0	2.07
-161.48267737911644	-140.78267737911634	-161.4685721589697	-141.6685721589697	-97.60360180524044	-87.60360180524042	-97.6141832502841	-87.61418325028407	0	0	2.08
-162.45871241640336	-141.65871241640326	-162.44481882515748	-142.5448188251575	-97.62457008185085	-87.62457008185082	-97.63498542830366	-87.63498542830364	0	0	2.09
-163.4349571518526	-142.5349571518525	-163.42127186753578	-143.42127186753578	-97.64520921428208	-87.64520921428205	-97.6554612925401	-87.65546129254007	0	0	2.1
-164.41140829375993	-143.41140829375985	-164.3979280510083	-144.29792805100828	-97.66552481135652	-87.66552481135649	-97.67561639673356	-87.67561639673353	0	0	2.11
-165.38806260651455	-144.28806260651447	-165.37478419547045	-145.17478419547044	-97.68552237274194	-87.68552237274191	-97.69545618675201	-87.69545618675198	0	0	2.12
-166.36491690950723	-145.16491690950716	-166.35183717474334	-146.05183717474333	-97.70520729149284	-87.70520729149281	-97.71498600309612	-87.71498600309609	0	0	2.13
-167.3419680760642	-146.04196807606414	-167.32908391553238	-146.92908391553237	-97.72458485651958	-87.72458485651956	-97.73421108333358	-87.73421108333355	0	0	2.14
-168.31921303240557	-146.91921303240548	-168.30652139641	-147.80652139641	-97.7436602549886	-87.74366025498857	-97.75313656446525	-87.75313656446522	0	0	2.15
-169.29664875662772	-147.79664875662763	-169.28414664682168	-148.6841466468217	-97.76243857465501	-87.76243857465498	-97.77176748522518	-87.77176748522515	0	0	2.16
-170.27427227770914	-148.67427227770906	-170.26195674611452	-149.56195674611453	-97.78092480613066	-87.78092480613063	-97.79010878831687	-87.79010878831684	0	0	2.17
-171.25208067453892	-149.55208067453884	-171.23994882258802	-150.43994882258804	-97.79912384508921	-87.79912384508918	-97.80816532258788	-87.80816532258785	0	0	2.18
-172.23007107496719	-150.43007107496712	-172.21812005256626	-151.3181200525663	-97.81704049441086	-87.81704049441083	-97.82594184514481	-87.82594184514478	0	0	2.19
-173.20824065487716	-151.30824065487707	-173.1964676594909	-152.19646765949093	-97.83467946626804	-87.83467946626801	-97.84344302341053	-87.8434430234105	0	0	2.2
-174.18658663727788	-152.18658663727777	-174.17498891303447	-153.0749889130345	-97.85204538415475	-87.85204538415472	-97.86067343712558	-87.86067343712556	0	0	2.21
-175.1651062914174	-153.0651062914173	-175.15368112823342	-153.95368112823346	-97.86914278486056	-87.86914278486053	-97.87763758029556	-87.87763758029553	0	0	2.22
-176.14379693191566	-153.94379693191556	-176.13254166464037	-154.83254166464042	-97.88597612039176	-87.88597612039173	-97.89433986308624	-87.89433986308622	0	0	2.23
-177.12265591791652	-154.82265591791642	-177.11156792549514	-155.7115679254952	-97.90254975984108	-87.90254975984105	-97.9107846136682	-87.91078461366817	0	0	2.24
-178.10168065225858	-155.7016806522585	-178.09075735691374	-156.5907573569138	-97.91886799120752	-87.91886799120749	-97.92697608001222	-87.9269760800122	0	0	2.25
-179.08086858066412	-156.58086858066403	-179.07010744709538	-157.47010744709544	-97.93493502316797	-87.93493502316794	-97.94291843163748	-87.94291843163745	0	0	2.2600000000000002
-180.06021719094585	-157.46021719094574	-180.0496157255465	-158.34961572554656	-97.95075498680214	-87.95075498680211	-97.95861576131367	-87.95861576131364	0	0	2.27
-181.03972401223078	-158.33972401223068	-181.02927976232166	-159.2292797623217	-97.9663319372725	-87.96633193727247	-97.97407208671866	-87.97407208671864	0	0	2.2800000000000002
-182.01938661420107	-159.21938661420097	-182.00909716728088	-160.1090971672809	-97.98166985546003	-87.98166985546	-97.98929135205307	-87.98929135205304	0	0	2.29
-182.99920260635105	-160.09920260635096	-182.98906558936272	-160.98906558936275	-97.9967726495579	-87.99677264955787	-98.00427742961303	-88.004277429613	0	0	2.3000000000000003
-183.97916963726036	-160.97916963726027	-183.96918271587313	-161.86918271587317	-98.01164415662379	-88.01164415662376	-98.01903412132243	-88.0190341213224	0	0	2.31
-184.95928539388242	-161.85928539388235	-184.94944627178918	-162.7494462717892	-98.02628814409245	-88.02628814409242	-98.03356516022606	-88.03356516022603	0	0	2.32
-185.93954760084824	-162.73954760084814	-185.92985401907765	-163.62985401907767	-98.04070831124965	-88.04070831124962	-98.04787421194456	-88.04787421194453	0	0	2.33
-186.91995401978477	-163.61995401978464	-186.91040375602807	-164.51040375602807	-98.05490829066865	-88.05490829066862	-98.06196487609255	-88.06196487609252	0	0	2.34
-187.90050244864773	-164.5005024486476	-187.89109331659952	-165.39109331659952	-98.06889164961021	-88.06889164961018	-98.07584068766094	-88.07584068766091	0	0	2.35
-188.8811907210685	-165.38119072106838	-188.8719205697813	-166.2719205697813	-98.08266189138756	-88.08266189138753	-98.08950511836473	-88.0895051183647	0	0	2.36
-189.86201670571447	-166.26201670571436	-189.85288341896683	-167.1528834189668	-98.09622245669726	-88.09622245669723	-98.10296157795693	-88.1029615779569	0	0	2.37
-190.84297830566288	-167.14297830566278	-190.83397980134046	-168.03397980134042	-98.10957672491668	-88.10957672491665	-98.11621341550995	-88.11621341550992	0	0	2.38
-191.8240734577876	-168.0240734577875	-191.81520768727705	-168.915207687277	-98.12272801536939	-88.12272801536936	-98.12926392066524	-88.12926392066521	0	0	2.39
-192.8053001321584	-168.90530013215832	-192.79656507975378	-169.79656507975372	-98.1356795885595	-88.13567958855947	-98.14211632485232	-88.1421163248523	0	0	2.4
-193.78665633145286	-169.78665633145278	-193.7780500137741	-170.67805001377403	-98.14843464737555	-88.14843464737552	-98.15477380247779	-88.15477380247776	0	0	2.41
